City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
421,Safaga,EG,79.95,few clouds,26.7292,33.9365,Lamar Resort Abu Soma
424,Aquidauana,BR,86.36,overcast clouds,-20.4711,-55.7872,HOTEL ARARAS
427,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
431,Auki,SB,82.29,broken clouds,-8.7676,160.7034,Auki Motel
432,Pacific Grove,US,84.58,clear sky,36.6177,-121.9166,Lovers Point Inn
437,Sokoni,TZ,79.12,clear sky,-6.4333,39.55,Ujamaa Beach Resort
442,Linguere,SN,88.02,clear sky,15.3953,-15.1193,AYO Casablanca
444,Kantang,TH,76.82,scattered clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
445,Sao Gabriel Da Cachoeira,BR,89.4,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
449,Kavaratti,IN,81.97,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
451,Taoudenni,ML,84.83,clear sky,22.6783,-3.9836,
456,Hervey Bay,AU,78.91,broken clouds,-25.2986,152.8535,Shelly Bay Resort
457,Sechura,PE,75.88,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
458,Jacareacanga,BR,84.09,broken clouds,-6.2222,-57.7528,Casa do Ian😎
462,Ciudad Bolivar,VE,85.8,overcast clouds,8.1222,-63.5497,Hotel Edi
465,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
470,Jussara,BR,81.84,broken clouds,-23.6214,-52.4694,Big hotel e Restaurante e hambugueria
472,Matara,LK,76.39,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
473,Harper,LR,77.31,overcast clouds,4.375,-7.7169,Screensaver
474,Kieta,PG,82.92,light rain,-6.2167,155.6333,Uruna Bay Retreat
476,Bullhead City,US,89.11,clear sky,35.1478,-114.5683,Harrah's Laughlin
477,Grand-Santi,GF,82.33,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
478,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
480,Victoria,HK,76.98,broken clouds,22.2855,114.1577,Mini Hotel Central
481,Selma,US,83.03,broken clouds,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
483,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
488,Piacabucu,BR,75.79,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
489,Lazaro Cardenas,MX,84.49,clear sky,17.9583,-102.2,quinta antigua
490,Chico,US,75.67,broken clouds,39.7285,-121.8375,Quality Inn Near Chico State
