City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
302,Tigzirt,DZ,36.8886,4.1198,66.36,63,100,3.89,overcast clouds
303,Roald,NO,62.5833,6.1333,61.72,66,0,4.61,clear sky
304,Umm Lajj,SA,25.0213,37.2685,83.53,45,0,4.47,clear sky
305,Naron,ES,43.5167,-8.1528,57.69,92,100,14.27,light rain
306,Ornskoldsvik,SE,63.2909,18.7153,41.95,100,90,3.44,fog
307,Alekseyevsk,RU,57.8406,108.3492,25.88,51,100,4.54,overcast clouds
308,Fare,PF,-16.7,-151.0167,78.1,69,91,14.14,overcast clouds
309,Turka,UA,49.1541,23.0297,43.25,66,10,5.64,clear sky
310,Deputatskiy,RU,69.3,139.9,7.83,90,100,8.55,overcast clouds
311,Aguimes,ES,27.9054,-15.4461,65.86,65,20,8.05,few clouds
312,Lukovetskiy,RU,64.2956,41.9211,39.18,100,100,5.73,overcast clouds
313,Upernavik,GL,72.7868,-56.1549,19.53,60,3,5.7,clear sky
314,Hobyo,SO,5.3505,48.5268,79.74,69,4,8.84,clear sky
315,Vao,NC,-22.6667,167.4833,70.54,72,66,10.45,broken clouds
316,Esperance,AU,-33.8667,121.9,48.78,82,27,6.69,scattered clouds
317,Sault Sainte Marie,CA,46.5168,-84.3333,55.69,62,90,0,overcast clouds
318,Ulaangom,MN,49.9811,92.0667,31.66,62,49,3.69,scattered clouds
319,Coatesville,US,39.9832,-75.8238,56.35,95,90,10,overcast clouds
320,Baryatino,RU,54.3121,34.521,47.91,92,98,7.38,overcast clouds
321,Kailua,US,21.4022,-157.7394,84.07,65,75,10.36,broken clouds
322,Delta Del Tigre,UY,-34.7633,-56.3853,84.61,39,0,13.8,clear sky
323,Pemangkat,ID,1.1667,108.9667,77.43,87,100,6.93,overcast clouds
324,Molteno,ZA,-31.3968,26.3625,50.77,79,0,6.87,clear sky
325,Acapulco,MX,16.8634,-99.8901,87.62,74,20,6.91,few clouds
326,Tskaltubo,GE,42.3254,42.5979,49.14,93,75,3.44,broken clouds
327,Carballo,ES,43.213,-8.691,57,92,100,10.22,overcast clouds
328,Kommunar,RU,59.6206,30.39,52.52,85,100,8.99,overcast clouds
329,Port Moresby,PG,-9.4431,147.1797,78.22,89,40,8.05,scattered clouds
330,Romitan,UZ,39.9343,64.3814,39.15,87,0,4.61,clear sky
331,Arys,KZ,42.4252,68.795,39.42,79,0,5.91,clear sky
332,Tahta,EG,26.7693,31.5021,78.24,31,96,6.29,overcast clouds
333,Naze,JP,28.3667,129.4833,69.44,65,86,12.28,overcast clouds
334,Kandrian,PG,-6.2167,149.55,79.05,87,96,3.18,light rain
335,Teya,RU,60.3778,92.6267,31.59,88,100,11.95,overcast clouds
336,Port Lincoln,AU,-34.7333,135.8667,53.71,57,56,5.41,broken clouds
337,Pastavy,BY,55.1168,26.8326,48.15,88,85,11.48,overcast clouds
338,Daru,PG,-9.0763,143.2092,81.82,80,100,8.72,overcast clouds
339,Belmonte,BR,-15.8631,-38.8828,77.5,83,53,7.94,broken clouds
340,Aklavik,CA,68.2191,-135.0107,25.63,93,100,0.78,overcast clouds
341,Akyab,MM,20.15,92.9,78.57,85,23,8.19,few clouds
342,La Ronge,CA,55.1001,-105.2842,50.22,40,40,9.22,scattered clouds
343,Bubaque,GW,11.2833,-15.8333,83.39,72,100,7.02,light rain
344,Solnechnyy,RU,50.7214,136.6319,33.03,81,98,2.84,overcast clouds
345,Westport,US,41.1415,-73.3579,56.08,71,90,1.01,overcast clouds
346,Le Port,RE,-20.9373,55.2919,69.89,79,54,8.43,broken clouds
347,Najran,SA,17.4924,44.1277,65.05,30,0,2.53,clear sky
348,Cozumel,MX,20.5083,-86.9458,84.27,60,40,5.01,scattered clouds
